STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
KANSAS,20,2014,June,Drought
KANSAS,20,2014,June,Drought
KANSAS,20,2014,June,Drought
KANSAS,20,2014,June,Drought
KANSAS,20,2014,June,Drought
NEW MEXICO,35,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
NEW MEXICO,35,2014,August,Drought
ARIZONA,4,2014,August,Drought
ARIZONA,4,2014,August,Drought
NEW MEXICO,35,2014,August,Drought
NEW MEXICO,35,2014,August,Drought
TEXAS,48,2014,September,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
NEW MEXICO,35,2014,April,Drought
NEW MEXICO,35,2014,April,Drought
NEW MEXICO,35,2014,April,Drought
NEW MEXICO,35,2014,April,Drought
NEW MEXICO,35,2014,October,Drought
NEW MEXICO,35,2014,October,Drought
OKLAHOMA,40,2014,September,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,November,Drought
TEXAS,48,2014,November,Drought
TEXAS,48,2014,November,Drought
TEXAS,48,2014,November,Drought
TEXAS,48,2014,November,Drought
TEXAS,48,2014,November,Drought
CALIFORNIA,6,2014,November,Drought
CALIFORNIA,6,2014,November,Drought
CALIFORNIA,6,2014,September,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
TEXAS,48,2014,July,Drought
TEXAS,48,2014,July,Drought
TEXAS,48,2014,August,Drought
TEXAS,48,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
ARIZONA,4,2014,August,Drought
ARIZONA,4,2014,August,Drought
NEW MEXICO,35,2014,August,Drought
TEXAS,48,2014,August,Drought
NEW MEXICO,35,2014,August,Drought
ARIZONA,4,2014,September,Drought
NEW MEXICO,35,2014,April,Drought
NEW MEXICO,35,2014,April,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
OKLAHOMA,40,2014,November,Drought
TEXAS,48,2014,August,Drought
CALIFORNIA,6,2014,September,Drought
CALIFORNIA,6,2014,September,Drought
CALIFORNIA,6,2014,September,Drought
CALIFORNIA,6,2014,September,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,July,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
TEXAS,48,2014,August,Drought
TEXAS,48,2014,August,Drought
TEXAS,48,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,August,Drought
OKLAHOMA,40,2014,September,Drought
OKLAHOMA,40,2014,September,Drought
OKLAHOMA,40,2014,September,Drought
OKLAHOMA,40,2014,September,Drought
NEW MEXICO,35,2014,August,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
TEXAS,48,2014,October,Drought
