STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
NEW MEXICO,35,2013,May,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
TEXAS,48,2013,April,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
WISCONSIN,55,2013,January,Drought
WISCONSIN,55,2013,January,Drought
WISCONSIN,55,2013,January,Drought
WISCONSIN,55,2013,January,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,February,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,January,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
HAWAII,15,2013,February,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
HAWAII,15,2013,April,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,May,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
NEBRASKA,31,2013,January,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
HAWAII,15,2013,April,Drought
TEXAS,48,2013,June,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
ARKANSAS,5,2013,April,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
NEW MEXICO,35,2013,May,Drought
TEXAS,48,2013,May,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
KANSAS,20,2013,January,Drought
KANSAS,20,2013,January,Drought
KANSAS,20,2013,January,Drought
KANSAS,20,2013,January,Drought
NEBRASKA,31,2013,January,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
OKLAHOMA,40,2013,December,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
HAWAII,15,2013,March,Drought
TEXAS,48,2013,June,Drought
TEXAS,48,2013,May,Drought
NEBRASKA,31,2013,May,Drought
NEBRASKA,31,2013,May,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
OKLAHOMA,40,2013,July,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
KANSAS,20,2013,January,Drought
KANSAS,20,2013,January,Drought
KANSAS,20,2013,January,Drought
TEXAS,48,2013,December,Drought
TEXAS,48,2013,December,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
NEBRASKA,31,2013,January,Drought
ARKANSAS,5,2013,February,Drought
ARKANSAS,5,2013,February,Drought
ARKANSAS,5,2013,February,Drought
ARKANSAS,5,2013,February,Drought
ARKANSAS,5,2013,February,Drought
HAWAII,15,2013,June,Drought
