STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE
IOWA,19,2012,December,Drought
IOWA,19,2012,December,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,December,Drought
ILLINOIS,17,2012,June,Drought
ILLINOIS,17,2012,June,Drought
KANSAS,20,2012,December,Drought
ILLINOIS,17,2012,June,Drought
ILLINOIS,17,2012,June,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
TEXAS,48,2012,January,Drought
TEXAS,48,2012,January,Drought
ILLINOIS,17,2012,June,Drought
ILLINOIS,17,2012,June,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
ILLINOIS,17,2012,June,Drought
ILLINOIS,17,2012,June,Drought
OKLAHOMA,40,2012,October,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
ALABAMA,1,2012,February,Drought
KANSAS,20,2012,October,Drought
ILLINOIS,17,2012,June,Drought
ILLINOIS,17,2012,June,Drought
SOUTH DAKOTA,46,2012,December,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
KANSAS,20,2012,October,Drought
COLORADO,8,2012,June,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
GEORGIA,13,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
FLORIDA,12,2012,January,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
WISCONSIN,55,2012,December,Drought
WISCONSIN,55,2012,December,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
KANSAS,20,2012,October,Drought
IOWA,19,2012,December,Drought
IOWA,19,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
MINNESOTA,27,2012,December,Drought
WISCONSIN,55,2012,December,Drought
WISCONSIN,55,2012,December,Drought
WISCONSIN,55,2012,December,Drought
WISCONSIN,55,2012,December,Drought
NEBRASKA,31,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,December,Drought
ALABAMA,1,2012,January,Drought
ALABAMA,1,2012,January,Drought
ALABAMA,1,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
SOUTH DAKOTA,46,2012,December,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
KANSAS,20,2012,December,Drought
SOUTH DAKOTA,46,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
SOUTH DAKOTA,46,2012,October,Drought
SOUTH DAKOTA,46,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
ALABAMA,1,2012,January,Drought
ALABAMA,1,2012,January,Drought
SOUTH DAKOTA,46,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
KANSAS,20,2012,December,Drought
SOUTH DAKOTA,46,2012,December,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
SOUTH DAKOTA,46,2012,October,Drought
MINNESOTA,27,2012,October,Drought
MINNESOTA,27,2012,October,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
GEORGIA,13,2012,January,Drought
SOUTH DAKOTA,46,2012,December,Drought
ALABAMA,1,2012,February,Drought
ALABAMA,1,2012,February,Drought
ALABAMA,1,2012,February,Drought
ALABAMA,1,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
KANSAS,20,2012,October,Drought
KANSAS,20,2012,October,Drought
FLORIDA,12,2012,February,Drought
KENTUCKY,21,2012,December,Drought
KENTUCKY,21,2012,December,Drought
KENTUCKY,21,2012,December,Drought
TEXAS,48,2012,December,Drought
TEXAS,48,2012,December,Drought
MINNESOTA,27,2012,December,Drought
MINNESOTA,27,2012,December,Drought
KANSAS,20,2012,November,Drought
KANSAS,20,2012,November,Drought
TENNESSEE,47,2012,November,Drought
KENTUCKY,21,2012,October,Drought
KENTUCKY,21,2012,October,Drought
IOWA,19,2012,November,Drought
NEBRASKA,31,2012,November,Drought
GEORGIA,13,2012,December,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
GEORGIA,13,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
TEXAS,48,2012,February,Drought
TEXAS,48,2012,February,Drought
MISSOURI,29,2012,August,Drought
MISSOURI,29,2012,August,Drought
MISSOURI,29,2012,August,Drought
MISSOURI,29,2012,August,Drought
MISSOURI,29,2012,August,Drought
MISSOURI,29,2012,August,Drought
TEXAS,48,2012,December,Drought
OKLAHOMA,40,2012,February,Drought
OKLAHOMA,40,2012,February,Drought
OKLAHOMA,40,2012,February,Drought
OKLAHOMA,40,2012,February,Drought
OKLAHOMA,40,2012,February,Drought
FLORIDA,12,2012,February,Drought
KENTUCKY,21,2012,December,Drought
KENTUCKY,21,2012,December,Drought
TEXAS,48,2012,December,Drought
HAWAII,15,2012,November,Drought
HAWAII,15,2012,November,Drought
HAWAII,15,2012,November,Drought
HAWAII,15,2012,November,Drought
HAWAII,15,2012,November,Drought
KANSAS,20,2012,November,Drought
KANSAS,20,2012,November,Drought
MINNESOTA,27,2012,November,Drought
KANSAS,20,2012,November,Drought
KANSAS,20,2012,November,Drought
TEXAS,48,2012,December,Drought
TEXAS,48,2012,December,Drought
IOWA,19,2012,November,Drought
IOWA,19,2012,November,Drought
IOWA,19,2012,November,Drought
TEXAS,48,2012,December,Drought
ILLINOIS,17,2012,December,Drought
ILLINOIS,17,2012,December,Drought
ILLINOIS,17,2012,December,Drought
ILLINOIS,17,2012,December,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
FLORIDA,12,2012,February,Drought
